	Compound_ID	SUPER_PATHWAY	SUB_PATHWAY	HMDB_ID	HMDB_ID_Link	COMP_ID	PLATFORM	CHEMICAL_ID	RT	MZ	RI	MASS	PUBCHEM	CAS	KEGG	Metabolite
107	107	Amino Acid	Lysine Metabolism	HMDB0001325	HMDB01325	1498	LC/MS Pos Early	189	2825	189.15979999999999	2825	189.15979999999999	440120	23284-33-5	C03793	N6,N6,N6-trimethyllysine
110	110	Amino Acid	Lysine Metabolism	NA	NA	43582	LC/MS Pos Early	100002462	2755	325.16059999999999	2755	325.16059999999999	NA	32448-36-5	NA	5-(galactosylhydroxy)-L-lysine
111	111	Amino Acid	Lysine Metabolism	NA	NA	46227	LC/MS Pos Early	100005373	2784	309.16559999999998	2784	309.16559999999998	123708	21291-40-7	NA	fructosyllysine
113	113	Amino Acid	Lysine Metabolism	HMDB0000510	HMDB00510	6146	LC/MS Polar	381	3500	160.0615	3500	160.0615	469	542-32-5;1118-90-7	C00956	2-aminoadipate
115	115	Amino Acid	Lysine Metabolism	HMDB0000225	HMDB00225	38347	LC/MS Polar	92	2635	159.0299	2635	159.0299	71	3184-35-8	C00322	2-oxoadipate
121	121	Amino Acid	Lysine Metabolism	HMDB0000070	HMDB00070	1444	LC/MS Pos Early	1025	2200	130.08629999999999	2200	130.08629999999999	849	4043-87-2	C00408	pipecolate
125	125	Amino Acid	Lysine Metabolism	HMDB0003355	HMDB03355	18319	LC/MS Pos Early	100000454	2220	118.08629999999999	2220	118.08629999999999	138	660-88-8	C00431	5-aminovalerate
127	127	Amino Acid	Lysine Metabolism	NA	NA	57687	LC/MS Pos Early	100015962	2186	160.13319999999999	2186	160.13319999999999	NA	NA	NA	N,N,N-trimethyl-5-aminovalerate
128	128	Amino Acid	Phenylalanine Metabolism	HMDB0000159	HMDB00159	64	LC/MS Pos Early	460	2878	166.08629999999999	2878	166.08629999999999	6140	63-91-2	C00079	phenylalanine
129	129	Amino Acid	Phenylalanine Metabolism	HMDB0000512	HMDB00512	33950	LC/MS Neg	100001256	2597	206.0823	2597	206.0823	74839	2018-61-3	C03519	N-acetylphenylalanine
137	137	Amino Acid	Phenylalanine Metabolism	HMDB0000779	HMDB00779	22130	LC/MS Neg	100000774	2208	165.0557	2208	165.0557	3848	828-01-3	C05607	phenyllactate (PLA)
141	141	Amino Acid	Phenylalanine Metabolism	HMDB0000209	HMDB00209	57745	LC/MS Neg	100000011	2150	91.055400000000006	2150	91.055400000000006	999	103-82-2	C07086	phenylacetate
148	148	Amino Acid	Tyrosine Metabolism	HMDB0000158	HMDB00158	1299	LC/MS Pos Early	815	2430	182.0812	2430	182.0812	6057	60-18-4	C00082	tyrosine
149	149	Amino Acid	Tyrosine Metabolism	HMDB0000866	HMDB00866	32390	LC/MS Neg	100001104	1680	222.0772	1680	222.0772	68310	537-55-3	NA	N-acetyltyrosine
162	162	Amino Acid	Tyrosine Metabolism	HMDB0000755	HMDB00755	32197	LC/MS Neg	240	1379	181.0506	1379	181.0506	9378	6482-98-0	C03672	3-(4-hydroxyphenyl)lactate (HPLA)
166	166	Amino Acid	Tyrosine Metabolism	HMDB0060015	HMDB60015	32553	LC/MS Neg	100001510	2156	172.9914	2156	172.9914	74426	937-34-8	C02180	phenol sulfate
167	167	Amino Acid	Tyrosine Metabolism	HMDB0060014	HMDB60014	52747	LC/MS Neg	100006679	1800	269.06670000000003	1800	269.06670000000003	87235	17685-05-1	NA	phenol glucuronide
180	180	Amino Acid	Tyrosine Metabolism	HMDB0001434	HMDB01434	12017	LC/MS Pos Early	1342	2555	212.0917	2555	212.0917	1670	300-48-1	NA	3-methoxytyrosine
201	201	Amino Acid	Tyrosine Metabolism	HMDB0011686	HMDB11686	48841	LC/MS Neg	100006191	2420	283.08229999999998	2420	283.08229999999998	154035	17680-99-8	NA	p-cresol glucuronide*
223	223	Amino Acid	Tryptophan Metabolism	HMDB0000929	HMDB00929	54	LC/MS Pos Early	565	2986	205.09719999999999	2986	205.09719999999999	6305	73-22-3	C00078	tryptophan
224	224	Amino Acid	Tryptophan Metabolism	HMDB0013713	HMDB13713	33959	LC/MS Neg	100001254	2630	245.0932	2630	245.0932	700653	1218-34-4	C03137	N-acetyltryptophan
230	230	Amino Acid	Tryptophan Metabolism	NA	NA	48782	LC/MS Pos Early	100006379	2700	367.15	2700	367.15	10981970	180509-18-6	NA	C-glycosyltryptophan
234	234	Amino Acid	Tryptophan Metabolism	NA	HMDB00684	15140	LC/MS Pos Early	100000265	2739	209.09209999999999	2739	209.09209999999999	161166	2922-83-0	C00328	kynurenine
236	236	Amino Acid	Tryptophan Metabolism	NA	NA	48757	LC/MS Neg	100006378	2378	249.0881	2378	249.0881	NA	NA	NA	N-acetylkynurenine (2)
238	238	Amino Acid	Tryptophan Metabolism	HMDB0000715	HMDB00715	1417	LC/MS Neg	98	2224	188.03530000000001	2224	188.03530000000001	3845	492-27-3	C01717	kynurenate
248	248	Amino Acid	Tryptophan Metabolism	HMDB0002243	HMDB02243	1512	LC/MS Pos Early	1022	910	124.0393	910	124.0393	1018	98-98-6	C10164	picolinate
253	253	Amino Acid	Tryptophan Metabolism	HMDB0000259	HMDB00259	2342	LC/MS Pos Early	504	2550	177.10220000000001	2550	177.10220000000001	5202	153-98-0	C00780	serotonin
256	256	Amino Acid	Tryptophan Metabolism	HMDB0000763	HMDB00763	437	LC/MS Pos Early	71	1893	192.06549999999999	1893	192.06549999999999	1826	54-16-0	C05635	5-hydroxyindoleacetate
260	260	Amino Acid	Tryptophan Metabolism	HMDB0000671	HMDB00671	18349	LC/MS Pos Early	100000463	2600	206.0812	2600	206.0812	92904	832-97-3	C02043	indolelactate
261	261	Amino Acid	Tryptophan Metabolism	HMDB0000197	HMDB00197	27513	LC/MS Pos Early	100001034	2850	176.07060000000001	2850	176.07060000000001	802	6505-45-9	C00954	indoleacetate
264	264	Amino Acid	Tryptophan Metabolism	HMDB0002302	HMDB02302	32405	LC/MS Pos Early	100001083	3205	190.08629999999999	3205	190.08629999999999	3744	830-96-6	NA	indolepropionate
271	271	Amino Acid	Tryptophan Metabolism	NA	NA	54730	LC/MS Neg	100006730	2610	231.07749999999999	2610	231.07749999999999	446640	NA	NA	indoleacetylglycine
275	275	Amino Acid	Tryptophan Metabolism	HMDB0000682	HMDB00682	27672	LC/MS Neg	100000467	2222.1999999999998	212.00229999999999	2222.1999999999998	212.00229999999999	10258	2642-37-7	NA	3-indoxyl sulfate
283	283	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000687	HMDB00687	60	LC/MS Pos Early	397	2864	132.1019	2864	132.1019	6106	61-90-5	C00123	leucine
284	284	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0011756	HMDB11756	1587	LC/MS Neg	1082	2400	172.09790000000001	2400	172.09790000000001	70912	1188-21-2	C02710	N-acetylleucine
290	290	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000695	HMDB00695	22116	LC/MS Neg	100000551	2170	129.0557	2170	129.0557	70	816-66-0	C00233	4-methyl-2-oxopentanoate
294	294	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000746	HMDB00746	22132	LC/MS Neg	100000706	1840	131.07140000000001	1840	131.07140000000001	83697	10303-64-7	C03264	alpha-hydroxyisocaproate
298	298	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000718	HMDB00718	44656	LC/MS Neg	100000708	1564	101.0608	1564	101.0608	10430	503-74-2	C08262	isovalerate (C5)
299	299	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000678	HMDB00678	35107	LC/MS Neg	100001452	1950	158.0823	1950	158.0823	546304	16284-60-9	NA	isovalerylglycine
300	300	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000688	HMDB00688	34407	LC/MS Pos Early	100001393	3085	246.17	3085	246.17	6426851	31023-24-2	NA	isovalerylcarnitine (C5)
306	306	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000459	HMDB00459	31940	LC/MS Pos Early	100001149	1980	158.0812	1980	158.0812	169485	33008-07-0	NA	3-methylcrotonylglycine
307	307	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000754	HMDB00754	12129	LC/MS Neg	1442	1027	117.0557	1027	117.0557	69362	625-08-1	NA	beta-hydroxyisovalerate
310	310	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000522	HMDB00522	57747	LC/MS Polar	100002458	2700	99.045199999999994	2700	99.045199999999994	1551553	5746-90-7	NA	3-methylglutaconate
323	323	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000172	HMDB00172	1125	LC/MS Pos Early	376	2800	132.1019	2800	132.1019	6306	73-32-5	C00407	isoleucine
325	325	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0061684	HMDB61684	33967	LC/MS Neg	100001276	2325	172.09790000000001	2325	172.09790000000001	2802421	3077-46-1	NA	N-acetylisoleucine
330	330	Amino Acid	Leucine, Isoleucine and Valine Metabolism	NA	HMDB03736	15676	LC/MS Neg	100000036	2064.1999999999998	129.0557	2064.1999999999998	129.0557	47	1460-34-0;51829-07-3	C00671	3-methyl-2-oxovalerate
331	331	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000317	HMDB00317	36746	LC/MS Neg	100001541	1800	131.07140000000001	1800	131.07140000000001	164623	488-15-3	NA	2-hydroxy-3-methylvalerate
333	333	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000378	HMDB00378	45095	LC/MS Pos Early	100001509	3050	246.17	3050	246.17	6426901	31023-25-3	NA	2-methylbutyrylcarnitine (C5)
336	336	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0002366	HMDB02366	35428	LC/MS Pos Early	100001597	2962	244.15430000000001	2962	244.15430000000001	22833596	64191-86-2	NA	tiglyl carnitine (C5)
339	339	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000396	HMDB00396	32397	LC/MS Neg	100001170	975	117.0557	975	117.0557	188979	4374-62-3	NA	3-hydroxy-2-ethylpropionate
341	341	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000622	HMDB00622	15765	LC/MS Polar	2054	2785	131.035	2785	131.035	11756	601-75-2	NA	ethylmalonate
342	342	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0001844	HMDB01844	15745	LC/MS Polar	2051	2800	131.035	2800	131.035	10349	498-21-5	NA	methylsuccinate
348	348	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000883	HMDB00883	1649	LC/MS Pos Early	566	2479	118.08629999999999	2479	118.08629999999999	6287	72-18-4	C00183	valine
349	349	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0011757	HMDB11757	1591	LC/MS Polar	1084	1227	158.0823	1227	158.0823	66789	96-81-1	NA	N-acetylvaline
354	354	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000019	HMDB00019	44526	LC/MS Polar	100000936	911	115.0401	911	115.0401	49	3715-29-5	C00141	3-methyl-2-oxobutyrate
355	355	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000407	HMDB00407	33937	LC/MS Neg	100001300	1126	117.0557	1126	117.0557	99823	600-37-3	NA	alpha-hydroxyisovalerate
357	357	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000736	HMDB00736	33441	LC/MS Pos Early	100001055	2810	232.15430000000001	2810	232.15430000000001	168379	25518-49-4	NA	isobutyrylcarnitine (C4)
359	359	Amino Acid	Leucine, Isoleucine and Valine Metabolism	HMDB0000336	HMDB00336	1549	LC/MS Polar	111	1619	103.0401	1619	103.0401	87	2068-83-9	C06001	3-hydroxyisobutyrate
364	364	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000696	HMDB00696	1302	LC/MS Pos Early	415	2526	150.0583	2526	150.0583	6137	63-68-3	C00073	methionine
365	365	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0011745	HMDB11745	1589	LC/MS Neg	1083	1787	190.05430000000001	1787	190.05430000000001	448580	65-82-7	C02712	N-acetylmethionine
366	366	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0001015	HMDB01015	2829	LC/MS Neg	194	1543.8	176.03870000000001	1543.8	176.03870000000001	439750	4289-98-9	C03145	N-formylmethionine
369	369	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0002005	HMDB02005	18374	LC/MS Pos Early	100000039	1272	166.05330000000001	1272	166.05330000000001	158980	3226-65-1	C02989	methionine sulfoxide
376	376	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0001087	HMDB01087	62100	LC/MS Pos Early	100002103	790	181.05289999999999	790	181.05289999999999	494	23656-67-9	NA	5-methylthioribose
377	377	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	NA	NA	62805	LC/MS Neg	100020893	1156	177.02269999999999	1156	177.02269999999999	NA	NA	NA	2,3-dihydroxy-5-methylthio-4-pentenoate (DMTPA)*
381	381	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000099	HMDB00099	15705	LC/MS Pos Early	310	2270	223.07470000000001	2270	223.07470000000001	439258	535-34-2	C02291	cystathionine
383	383	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000574	HMDB00574	1868	LC/MS Pos Early	800	1475	122.027	1475	122.027	5862	52-90-4;56-89-3	C00097	cysteine
385	385	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0002108	HMDB02108	39592	LC/MS Neg	100002749	880	134.02809999999999	880	134.02809999999999	24417	1187-84-4	NA	S-methylcysteine
386	386	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0029432	HMDB29432	43378	LC/MS Pos Early	100002927	900	152.0376	900	152.0376	82142	6853-87-8	NA	S-methylcysteine sulfoxide
388	388	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000731	HMDB00731	22176	LC/MS Pos Early	100000808	565	201.9838	565	201.9838	115015	1637-71-4	C05824	cysteine s-sulfate
389	389	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000192	HMDB00192	56	LC/MS Polar	279	3424	239.01660000000001	3424	239.01660000000001	67678	56-89-3	C00491	cystine
395	395	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000996	HMDB00996	37443	LC/MS Pos Early	100002113	597	154.01689999999999	597	154.01689999999999	109	207121-48-0	C00606	cysteine sulfinic acid
397	397	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000965	HMDB00965	590	LC/MS Pos Early	358	724	110.027	724	110.027	107812	300-84-5	C00519	hypotaurine
398	398	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	HMDB0000251	HMDB00251	2125	LC/MS Neg	512	690	124.0074	690	124.0074	1123	107-35-7	C00245	taurine
399	399	Amino Acid	Methionine, Cysteine, SAM and Taurine Metabolism	NA	NA	48187	LC/MS Neg	100005466	800	166.018	800	166.018	159864	NA	NA	N-acetyltaurine
405	405	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000517	HMDB00517	1638	LC/MS Pos Early	231	2825	175.119	2825	175.119	232	1119-34-2	C00062	arginine
406	406	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000052	HMDB00052	15497	LC/MS Pos Early	232	2745	291.12990000000002	2745	291.12990000000002	828	156637-58-0	C03406	argininosuccinate
407	407	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000294	HMDB00294	1670	LC/MS Pos Early	533	700	121.072	700	121.072	1176	57-13-6	C00086	urea
409	409	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0003374	HMDB03374	1493	LC/MS Pos Early	444	2800	133.09719999999999	2800	133.09719999999999	6262	3184-13-2	C00077	ornithine
411	411	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000323	HMDB00323	62853	LC/MS Pos Early	100020361	2065	115.0866	2065	115.0866	5200225	1892-22-4	NA	3-amino-2-piperidone
413	413	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0004225	HMDB04225	55072	LC/MS Pos Early	100002784	1760	174.0873	1760	174.0873	558	663193	C03771	2-oxoarginine*
414	414	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000904	HMDB00904	2132	LC/MS Pos Early	391	1520	176.10300000000001	1520	176.10300000000001	9750	372-75-8	C00327	citrulline
415	415	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000670	HMDB00670	22137	LC/MS Pos Early	100000961	2882	189.13460000000001	2882	189.13460000000001	9085	156-86-5	C01924	homoarginine
416	416	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000679	HMDB00679	22138	LC/MS Pos Early	100000963	1908	190.11859999999999	1908	190.11859999999999	65072	1190-49-4	C02427	homocitrulline
417	417	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000162	HMDB00162	1898	LC/MS Pos Early	480	1603	116.0706	1603	116.0706	145742	147-85-3	C00148	proline
420	420	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0001539	HMDB01539	36808	LC/MS Pos Early	100001810	2850	203.15029999999999	2850	203.15029999999999	123831	102783-24-4	C03626	dimethylarginine (ADMA + SDMA)
421	421	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0004620	HMDB04620	33953	LC/MS Pos Early	100001266	2245	217.12950000000001	2245	217.12950000000001	67427	155-84-0	C02562	N-acetylarginine
425	425	Amino Acid	Urea cycle; Arginine and Proline Metabolism	HMDB0000856	HMDB00856	48434	LC/MS Neg	100001577	940	216.09899999999999	940	216.09899999999999	656979	33965-42-3	C15532	N-acetylcitrulline
426	426	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	34387	LC/MS Pos Early	100001334	1695	158.0812	1695	158.0812	322640	1074-79-9	NA	N-acetylproline
427	427	Amino Acid	Urea cycle; Arginine and Proline Metabolism	NA	NA	43249	LC/MS Neg	100004523	858	173.0932	858	173.0932	9920500	NA	NA	N-delta-acetylornithine
